Team_Name,City,State,Latitude,Longitude,Conference,Division
Atlanta Hawks,Atlanta,GA,33.749,-84.388,Eastern,Southeast
Boston Celtics,Boston,MA,42.3601,-71.0589,Eastern,Atlantic
Brooklyn Nets,Brooklyn,NY,40.6782,-73.9442,Eastern,Atlantic
Charlotte Hornets,Charlotte,NC,35.2271,-80.8431,Eastern,Southeast
Chicago Bulls,Chicago,IL,41.8781,-87.6298,Eastern,Central
Cleveland Cavaliers,Cleveland,OH,41.4993,-81.6944,Eastern,Central
Detroit Pistons,Detroit,MI,42.3314,-83.0458,Eastern,Central
Indiana Pacers,Indianapolis,IN,39.7684,-86.1581,Eastern,Central
Miami Heat,Miami,FL,25.7617,-80.1918,Eastern,Southeast
Milwaukee Bucks,Milwaukee,WI,43.0389,-87.9065,Eastern,Central
New York Knicks,New York,NY,40.7128,-74.006,Eastern,Atlantic
Orlando Magic,Orlando,FL,28.5383,-81.3792,Eastern,Southeast
Philadelphia 76ers,Philadelphia,PA,39.9526,-75.1652,Eastern,Atlantic
Toronto Raptors,Toronto,ON,43.651,-79.347,Eastern,Atlantic
Washington Wizards,Washington,DC,38.9072,-77.0369,Eastern,Southeast
Dallas Mavericks,Dallas,TX,32.7767,-96.797,Western,Southwest
Denver Nuggets,Denver,CO,39.7392,-104.9903,Western,Northwest
Golden State Warriors,San Francisco,CA,37.7749,-122.4194,Western,Pacific
Houston Rockets,Houston,TX,29.7604,-95.3698,Western,Southwest
LA Clippers,Los Angeles,CA,33.94395,-118.34216,Western,Pacific
Los Angeles Lakers,Los Angeles,CA,34.04312,-118.2674,Western,Pacific
Memphis Grizzlies,Memphis,TN,35.1495,-90.049,Western,Southwest
Minnesota Timberwolves,Minneapolis,MN,44.9778,-93.265,Western,Northwest
New Orleans Pelicans,New Orleans,LA,29.9511,-90.0715,Western,Southwest
Oklahoma City Thunder,Oklahoma City,OK,35.4676,-97.5164,Western,Northwest
Phoenix Suns,Phoenix,AZ,33.4484,-112.074,Western,Pacific
Portland Trail Blazers,Portland,OR,45.5051,-122.675,Western,Northwest
Sacramento Kings,Sacramento,CA,38.5816,-121.4944,Western,Pacific
San Antonio Spurs,San Antonio,TX,29.4241,-98.4936,Western,Southwest
Utah Jazz,Salt Lake City,UT,40.7608,-111.891,Western,Northwest
